,CLE,MIL,CHA,IND,LAC,ORL,SAC,ATL,MIA,NYK,PHX,SAS,MEM,UTA,DAL,POR,DEN,BKN,TOR,CHI,NOP,PHI,DET,BOS,WAS,LAL,HOU,GSW,MIN,OKC
CHI,107.00625,99.6625,126.05000000000001,108.1359375,110.325,119.38593750000001,124.4,124.53125,103.775,116.271875,112.94999999999999,112.95,102.525,105.375,115.8375,120.43749999999999,115.86250000000001,112.9125,116.01249999999999,0.0,129.575,108.971875,102.184375,125.7,121.3625,113.7375,127.1125,98.2125,116.95,113.35
NOP,114.2125,111.61250000000001,112.05,105.2,122.5375,118.675,107.54375,105.725,105.775,115.10000000000001,106.23124999999999,101.07499999999999,122.075,106.9375,111.13125,118.61250000000001,112.17500000000001,115.425,114.975,117.175,0.0,104.7,115.4,103.825,116.25,104.94999999999999,120.78125,96.5,102.4375,109.98125
PHI,100.4,104.61250000000001,116.296875,114.26249999999999,111.325,111.23125,113.725,109.85734863281249,109.93125,106.75,122.30000000000001,122.4375,99.8875,102.65,114.30000000000001,117.5875,107.1,111.915625,115.6625,118.2625,117.0875,0.0,117.9625,107.88749999999999,117.67861328125,107.2,119.975,105.05000000000001,114.85,118.875
DET,98.325,97.50625000000001,106.69999999999999,109.38125000000001,105.9,110.19375,114.525,109.6,109.46875,92.35,105.45,100.73750000000001,96.65,111.275,113.35,98.15,108.3,98.68125,127.79375,86.190625,104.9625,108.75625,0.0,103.7875,107.65,109.11250000000001,107.4875,103.3875,107.35,109.575
BOS,108.05000000000001,118.471875,119.44999999999999,118.21875,105.725,108.234375,121.05000000000001,107.625,114.78125,114.48124999999999,113.175,102.775,119.0,124.5,111.875,131.2125,115.65,109.103515625,110.3125,116.80625,110.95,102.696875,106.775,0.0,103.6875,112.2125,112.32499999999999,115.19999999999999,115.2,112.85
WAS,113.303125,106.76875000000001,102.659375,123.24375,113.65,112.30625,108.775,117.80000000000001,114.82499999999999,116.72500000000001,100.4875,112.82499999999999,108.925,111.4125,118.025,112.5,113.67500000000001,103.48124999999999,102.740625,116.63749999999999,103.525,108.693359375,112.44999999999999,102.45,0.0,111.85,103.6,106.1,119.32499999999999,114.32499999999999
LAL,116.15,102.57499999999999,114.15,113.86250000000001,115.64375000000001,110.425,115.83906250000001,117.7,106.5625,102.57499999999999,95.27431640625,110.790625,105.509375,104.95,111.57499999999999,118.428125,104.7,112.375,111.4,108.45,111.225,95.85,110.92500000000001,113.4375,106.1,0.0,119.778125,106.58125,94.078125,115.009375
HOU,100.42500000000001,114.05000000000001,109.225,113.25,113.575,121.9,110.58125000000001,116.69999999999999,102.9,108.85,98.5,106.76875000000001,106.10625,101.42500000000001,106.40625,102.825,104.86875,117.57499999999999,114.85,117.23750000000001,121.15625,101.775,108.3375,95.5375,106.95,112.40625,0.0,104.8125,106.2875,108.721875
GSW,115.4625,100.39999999999999,106.3625,105.2875,108.13125,116.825,119.471875,115.95,111.625,111.15,120.64375,115.03125,108.4890625,117.53125,116.675,110.70625000000001,104.1125,111.725,105.9625,123.95,117.2375,105.3375,113.9,114.975,102.85,103.68125,117.490625,0.0,120.87812500000001,110.95625
MIN,104.9,106.92500000000001,107.5,111.35,98.29374999999999,106.575,121.5375,112.26249999999999,113.75,101.8,104.95,116.925,128.965625,109.8921875,115.8875,114.49375,116.50625,111.1,101.15,115.85,108.4984375,107.025,120.2125,111.8,106.575,105.28437500000001,118.80625,114.053125,0.0,116.9375
OKC,101.9,95.475,100.6,101.8,107.38125,106.6,105.715625,109.95,95.225,102.75,103.70625,100.80625,100.33125,102.825,100.55625,102.56875,105.7875,114.4875,112.9,107.875,110.16250000000001,99.07499999999999,108.075,106.30000000000001,108.4,104.66874999999999,102.96875,90.21875,101.59375,0.0
